text,intent
Upgrade to 12.04 64 bit,0
How To Install Canon LBP2900B printer in 14.04 LTS ? I tried the method for LBP2900 but it didnt work,2
Shutdown after a certain time,3
Password Management Applications?,4
How to shutdown computer when users are logged on?,3
What to use to quickly cut Audio/Video,4
What is the proper terminal-way to shutdown?,3
shut down without extra question,3
Can you recommend a password generator?,4
MySQL GUI Tools,4
How to setup HP printer/scanner on ubuntu?,2
Any command line calculator for Ubuntu?,4
Hotkey to shut down from login screen?,3
What developer text editors are available for Ubuntu?,4
Install Canon MP560 Ubuntu 15.04,2
Are there any Keyboard Shortcuts to Shutdown?,3
UPNP / DLNA (client) player recommendations?,4
Extracting embedded images from a PDF,4
How to upgrade Ubuntu 14.04.1 to 14.04.2?,0
What tools do you use to monitor a web server?,4
How do I setup my HP C4140 printer wirelessly?,2
Which programs can I use to edit PDF files?,4
What screenshot tools are available?,4
How can I enable shutdown verbosity?,3
What graphical utility can I use for Ubuntu auto shutdown?,3
How to install a Brother MFC-5890CN network printer?,2
How do I install drivers for the Panasonic MB1900CX All-in-One Printer/Scanner?,2
Torrent client for the command-line?,1
how to upgrade from ubuntu 15.04 to 15.10?,0
Upgrade 12.04 to 12.10 using startup disk,0
Shutdown problem in Ubuntu 16.04,3
How can I highlight or annotate PDFs?,1
How can I install a Pantum 2502W laser printer on Ubuntu,2
How to record my screen?,1
How to setup wireless printing from a printer connected via usb on Ubuntu Server 12.10?,2
Upgrading from Ubuntu 14.04 to 15.04,0
How to upgrade from Ubuntu 10.10 to 11.04?,0
Update 11.04 to 12.04 with LiveCD,0
How to Upgrade from 11.10 to 12.04 when you've got a problem?,0
No matter what I do Ubuntu 15.04 does not recognize HP LaserJet 1020,2
How can I automatically shutdown the system after a specific time?,3
What is a good MongoDB GUI client?,4
