text,intent
what's the shortest way between hauptbahnhof and odeonsplatz?,1
i want to travel from garching to odeonsplatz?,1
when is the next bus in garching forschungszentrum,0
how can i get from garching to odeonsplatz?,1
can you tell me the cheapest way from garching forschungszentrum to quiddestraße?,1
when is the next u6?,0
when is the next train in münchner freiheit?,0
how can i get from garching forschungszentrum to odeonsplatz?,1
when does the next subway departes from odeonsplatz?,0
when is the next train leaving in garching,0
can you give me a connection from garching to odeonsplatz?,1
from garching to studentenstadt,1
when is the bus from quiddestraße?,0
connection from hauptbahnhof to odeonsplatz?,1
when is the next train from untere straßaecker 21 to kieferngarten,1
when does the next train leaves from quiddestraße?,0
when does the next tram starts from hauptbahnhof?,0
when is the next bus leaving from garching?,0
how can i get from kurt-eisner-straße to garching?,1
when does the next train leave from garching forschungszentrum,0
how to get from untere strassäcker 21 to frötmaning,1
when does the next bus leaves at garching?,0
how can i get from garching to sendlinger tor?,1
can you find a bus from quiddestraße to lehel?,1
how can i get from garching to milbertshofen?,1
when is the next train,0
when does the next s-bahn leaves from hauptbahnhof?,0
how to get from garching to perlach?,1
how can i get from mossach to garching forschungszentrum?,1
how can i get from garching to marienplatz,1
when does the next train leaves?,0
when can i get a bus at mariahilfplatz?,0
"when the next train in garching,forschungszentrum is leaving?",0
what's the cheapest way from neuperlach süd to lehel?,1
next bus from quiddestraße?,0
when will the next u-bahn depart from garching forschungszentrum?,0
when does the next bus leaves from hauptbahnhof?,0
how to get from untere strassaecker 21 to frötmaning,1
how can i get from garching to münchner freiheit as fast as possible?,1
how can i get to sendlinger tor?,1
how can i get to boltzmannstraße from quiddestraße?,1
how can i get from moosach to garching forschungszentrum?,1
when is the next train in nordfriedhof,0
when does the next bus leaves at garching forschungszentrum?,0
show me the next bus from garching!,0
"when is the next train from untere straßaecker 21, garching to kieferngarten",1
can you find a connection from olympiazentrum to lehel at 2 pm?,1
when is the train leaving in garching,0
what's the shortest connection between quiddestraße and odeonsplatz?,1
from garching to perlach,1
when does the bus to röblingweg starts?,0
how can i get from garching to hauptbahnhof?,1
when is the train leaving in garching?,0
when is adrians next subway leaving at garching forschungszentrum?,0
is there a train from neuperlach zentrum to garching at 3 pm?,1
how do i get from olympia einkaufszentrum to hauptbahnhof?,1
can you find the shortest way from moosfeld to milbertshofen?,1
when is the next train from garching,0
connection from untere straßäcker 21 to kieferngarten,1
how can i get to neuperlach süd from garching forschungszentrum?,1
how can i get from garching forschungszentrum to kurt-eisner-straße?,1
"how can i get from garching, forschungszentrum to odeonsplatz?",1
i need to be in garching at 9,1
is there a bus from odeonsplatz to hauptbahnhof at 3 pm?,1
how can i get to quiddestraße?,1
show me the next bus from michaelibad.,0
what is the next connection from garching forschungszentrum to odeonsplatz?,1
could you give me the fastest connection between brudermühlstraße and alte heide?,1
when does the next train come at garching forschungszentrum,0
how can i get from garching to garching?,1
what is the cheapest connection between quiddestraße and hauptbahnhof?,1
is there a tram from karlsplatz to lehel?,1
how can i get from olympiazentrum to hauptbahnhof?,1
when is the next train from garching,0
how can i get from neuperlach zentrum to karlsplatz as fast as possible?,1
how do i get to untere straussäcker?,1
i need a connection from harras to karl-preis-platz at 8 am.,1
when is the next train from nordfriedhof to garching forschungszentrum,1
can i take a bus from quiddestraße to hauptbahnhof?,1
when the next train in garching is leaving?,0
